Date,Device Code,Time,Test,Microphone gain,Sample rate,Folder name,User defined file name,Audio file maximum size,Recording start date,Recording stop date,Duty-cycle record rule,Latitude,Longitude,Note
4/2/2025,1_S7899,8:00 am to 5:00 pm,1,40.0 dB,32 kHz,test_1_04022025,1_S7899_2025-02-04_Gain_40.0dB,230 MB,,,"record for 10 mn every 15 mn",11.403694,105.398278,
4/2/2025,3_S7901,8:00 am to 5:00 pm,1,23.0 dB,32 kHz,,3_S7901_2025-02-04_Gain_23.0dB,230 MB,,,"record for 10 mn every 15 mn",11.403694,105.398278,
4/2/2025,4_S7902,8:00 am to 5:00 pm,1,28.0 dB,32 kHz,,4_S7902_2025-02-04_Gain_28.0dB,230 MB,,,"record for 10 mn every 15 mn",11.403694,105.398278,
4/2/2025,5_S7903,8:00 am to 5:00 pm,1,35.0 dB,32 kHz,,5_S7903_2025-02-04_Gain_35.0dB,230 MB,,,"record for 10 mn every 15 mn",11.403694,105.398278,
5/2/2025,1_S7899,6:00 pm to 6:00 am,1,40.0 dB,32 kHz,test_2_05022025,1_S7899_2025-02-04_Gain_40.0dB,230 MB,,,"record for 10 mn every 15 mn",11.406172,105.397017,Deploy overnight from 6pm to 6am
5/2/2025,1_S7899,6:00 pm to 6:00 am,1,40.0 dB,32 kHz,,1_S7899_2025-02-05_Gain_40.0dB,230 MB,,,"record for 10 mn every 15 mn",11.406172,105.397017,
5/2/2025,3_S7901,6:00 pm to 6:00 am,1,23.0 dB,32 kHz,,3_S7901_2025-02-04_Gain_23.0dB,230 MB,,,"record for 10 mn every 15 mn",11.406172,105.397017,
5/2/2025,3_S7901,6:00 pm to 6:00 am,1,23.0 dB,32 kHz,,3_S7901_2025-02-05_Gain_23.0dB,230 MB,,,"record for 10 mn every 15 mn",11.406172,105.397017,
5/2/2025,4_S7902,6:00 pm to 6:00 am,1,28.0 dB,32 kHz,,4_S7902_2025-02-04_Gain_28.0dB,230 MB,,,"record for 10 mn every 15 mn",11.406172,105.397017,
5/2/2025,4_S7902,6:00 pm to 6:00 am,1,28.0 dB,32 kHz,,4_S7902_2025-02-05_Gain_28.0dB,230 MB,,,"record for 10 mn every 15 mn",11.406172,105.397017,
5/2/2025,5_S7903,6:00 pm to 6:00 am,1,35.0 dB,32 kHz,,5_S7903_2025-02-04_Gain_35.0dB,230 MB,,,"record for 10 mn every 15 mn",11.406554,105.396771,
5/2/2025,5_S7903,6:00 pm to 6:00 am,1,35.0 dB,32 kHz,,5_S7903_2025-02-05_Gain_35.0dB,230 MB,,,"record for 10 mn every 15 mn",11.406554,105.396771,
6/2/2025,1_S7899,4:30 pm to 5:30 pm,1,29.0 dB,32 kHz,test_3_06022025,1_S7899_20250206_163000(+0700)_Gain_29.0dB,230 MB,,,"record for 1h every 1h 30mn",11.403694,105.398278,
6/2/2025,3_S7901,4:30 pm to 5:30 pm,1,31.0 dB,32 kHz,,-,-,,,-,11.403694,105.398278,Device error
6/2/2025,4_S7902,4:30 pm to 5:30 pm,1,33.0 dB,32 kHz,,4_S7902_20250206_163241(+0700)_Gain_33.0dB,230 MB,,,"record for 1h every 1h 30mn",11.403694,105.398278,